post_index,post_unique_url,post_title,occurrence_index,thumb_url,full_url,inferred_full_url,chosen_download_url,chosen_kind,alt,title,classes,style
4,https://endlessknots.netage.com/endlessknots/2016/05/margarets-206th-birthday.html,Margaret's 206th Birthday,0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d92c970d-popup,full,Trimtab marker,Trimtab marker,asset  asset-image at-xid-6a00df3523b1d0883401bb0904d92c970d img-responsive,display: block; margin-left: auto; margin-right: auto;
4,https://endlessknots.netage.com/endlessknots/2016/05/margarets-206th-birthday.html,Margaret's 206th Birthday,1,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d8fe970d-pi,full,Margaret memorial,Margaret memorial,asset  asset-image at-xid-6a00df3523b1d0883401bb0904d8fe970d img-responsive,display: block; margin-left: auto; margin-right: auto;
4,https://endlessknots.netage.com/endlessknots/2016/05/margarets-206th-birthday.html,Margaret's 206th Birthday,2,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d951970d-320wi,,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d951970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb0904d951970d-popup,inferred_full,MF&JL 2016,MF&JL 2016,asset  asset-image at-xid-6a00df3523b1d0883401bb0904d951970d img-responsive,display: block; margin-left: auto; margin-right: auto;
5,https://endlessknots.netage.com/endlessknots/2015/07/on-this-day-in-1850-margaret-fuller.html,"On this day in 1850, Margaret Fuller...",0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d13a538a970c-popup,full,JL-MF '06,JL-MF '06,asset  asset-image at-xid-6a00df3523b1d0883401b8d13a538a970c img-responsive,display: block; margin-left: auto; margin-right: auto;
7,https://endlessknots.netage.com/endlessknots/2015/05/happy-205th-sarah-margaret-fuller.html,"Happy 205th, Sarah Margaret Fuller",0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb08333070970d-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb08333070970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb08333070970d-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401bb08333070970d-popup,full,Fuller books,Fuller books,asset  asset-image at-xid-6a00df3523b1d0883401bb08333070970d img-responsive,display: block; margin-left: auto; margin-right: auto;
7,https://endlessknots.netage.com/endlessknots/2015/05/happy-205th-sarah-margaret-fuller.html,"Happy 205th, Sarah Margaret Fuller",1,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d118c425970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d118c425970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d118c425970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d118c425970c-popup,full,Halamka & me 2009,Halamka & me 2009,asset  asset-image at-xid-6a00df3523b1d0883401b8d118c425970c img-responsive,display: block; margin-left: auto; margin-right: auto;
9,https://endlessknots.netage.com/endlessknots/2015/04/always-say-yes-to-grad-students-an-interview-about-virtual-teams.html,Always say yes to students: an interview about virtual teams,0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c77d26e2970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c77d26e2970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c77d26e2970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c77d26e2970b-popup,full,VT 1st ed,VT 1st ed,asset  asset-image at-xid-6a00df3523b1d0883401b7c77d26e2970b img-responsive,display: block; margin-left: auto; margin-right: auto;
9,https://endlessknots.netage.com/endlessknots/2015/04/always-say-yes-to-grad-students-an-interview-about-virtual-teams.html,Always say yes to students: an interview about virtual teams,1,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106aa55970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106aa55970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106aa55970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106aa55970c-popup,full,PPLT,PPLT,asset  asset-image at-xid-6a00df3523b1d0883401b8d106aa55970c img-responsive,display: block; margin-left: auto; margin-right: auto;
10,https://endlessknots.netage.com/endlessknots/2015/04/the-successful-virtual-office-in-30-minutes.html,"""The Successful Virtual Office in 30 Minutes""",0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106a60b970c-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106a60b970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106a60b970c-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b8d106a60b970c-popup,full,Successful Virtual Office,Successful Virtual Office,asset  asset-image at-xid-6a00df3523b1d0883401b8d106a60b970c img-responsive,display: block; margin-left: auto; margin-right: auto;
13,https://endlessknots.netage.com/endlessknots/2015/01/slow-down-keep-right-i-mean-left.html,"Slow down, keep right, I mean left",0,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7375b6b970b-320wi,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7375b6b970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7375b6b970b-popup,http://endlessknots.netage.com/.a/6a00df3523b1d0883401b7c7375b6b970b-popup,full,Skip wombat koala,Skip wombat koala,asset  asset-image at-xid-6a00df3523b1d0883401b7c7375b6b970b img-responsive,display: block; margin-left: auto; margin-right: auto;
